,count,minNt_r
113931,1091,8c858800000084008a00000c8b0000050000000000000008
116610,1091,000086000000000609060000068900008a00
113249,1087,040008000400000000000089000586000000
116492,1086,860800000000008c00000000008800000000070b0500090e
116674,1083,858f0000000a00000000000e048d000000008c0000008987
114405,1077,00000000060000000f000000008c850000880885000a0000
113081,1074,000600000b008a8900008a05000000850000
113284,1074,0005000e00000000008a000000008500001100008e0a0091
112946,1069,0000000e000000008f040000860009008700008400008900
116980,1068,00000084000000000000008c000600008b0e090900040000
113212,1065,000004000009000600008a00000500840000
116747,1062,008700000000008f0000000000060c0a0000008a8a060000
113207,1060,0005000000008d00008a868c0000000a000a0c0000000000
115074,1057,0900070000000886000007008a0000000000
115336,1056,00000087008b0000000000098b0487000000
113469,1051,0000000a00048b0000000000840084000a86
117203,1049,00000000068b00000000000b000d0087000087000000858f
116658,1048,8a000000008792040000000b00000f0000000000008f1200
113170,1046,8a0400000000070084000000090000000600
114430,1044,000008000704000000008800000000000d00088f00000084
112934,1043,008905000000840000000007050000000b00000008000000
114665,1042,008807008c89080000000000000d86000000
117016,1042,000009870000898988000085000004000000
112914,1040,000000060009000085000004000000008a06
116868,1039,000005008a07000000000084060009080000
113008,1031,000007000000860000000a0000898a008b87
114697,1029,000e00000006000b00008f0087000000000000008d008f8a
113139,1024,0700008800000000008400000800060b0800
114735,1020,00000000060b850000000000068800000009
116565,1020,0000000000058a0000848800860884000000
117039,1020,00000007078b000085000000080907000000
114712,1017,000b0f0008060000000000888700008e0000
115502,1016,86000000000800070000000000000b008887
114662,1003,008e8f0a0007850000008a0000000c000000
113690,1000,0a00000000000000088c0085000c0000000000000007008a
114674,998,008500040000870b00000000858800000000
117017,997,00000000000c8f050000008d0000000009870000008b0087
116685,995,00080987000000050a050000008b00000000
114521,993,87000000000900000000008d00060f8a000d
114131,984,000009000a06008400870009000000890000
114425,983,0085000000000000000589000b0900040b00
114413,983,000000008e008a00008500008b05000000890000000e0a00
115214,980,00000086008a000a000000000000058b8600
113122,978,00090b00000600000000008d0089000000000d84000e8400
114670,971,008508000000000a0000008b050000000b00
114757,970,00890000000009850000000000850b040000
115558,970,0000000b00848b0000000884050000000000
115263,970,000800870000000087090088000000000400
114721,969,000000850b0c000088000000060009008d00
113823,968,00090000000000008889008500000700058b
114120,967,040000000000008f84000800000c00000000008800008b85
113799,965,0b0000840000000000890000040604080000
116248,964,00000088060000000f000b00850000000d86000000008e00
114286,962,0000008500000d000c0000008d0b00040009000000008900
112997,961,880000050000000000000008000084848a86
114655,961,0000008b0700000900880000898700000000
114330,958,000086000000000f0007008a0a000000040b00000000008e
113050,957,00000006000085008b8900890a0000008400
114676,957,00000000000a87880089008d000000040e00
113114,956,0000070000008888008600000b0087000084
113238,952,008b00000000000b0000008f000000000007840e008a0000
116891,948,000005040a008a000000000000090000840b
113147,948,000086000000000d04000f000000000009008e008a00008a
117137,947,000000000b00880006890000890000008685
112926,943,000d000000000009000000000089008d8400000005078c00
115658,940,008c0a0000000089000400000c000c060000000000000087
116785,939,00040000060c00000000008c0000000d878a0b0000000000
113072,938,00008b008788008a000b0000000000000007
114275,938,00000f0000008600008c000006000400008a0004000b0000
115223,931,000a08040000860000000000078a00040000
113819,931,00000c008b0000000000080000008f0000058e00878f8900
117205,924,000000008a00000000008f0000000a870000060500000e04
115195,923,0000008b0000850000090000070000000884
113899,920,00000000000d8800840086000088058f0000000900000000
112956,918,000b000000000005000007008a8c000000860e008a000000
115200,917,008c8f00840000000000000d00040088000000000b050000
112990,917,00080407000000008a0000000b0087000a00
114705,917,000000000984008b00000084000000048700
112954,915,000088000000000d85000f0d0700000000000000008d0800
112987,908,000000000006850885000b000b0000008800
116025,907,088e0000000000000000860009000000000c000400008b07
113145,907,0c008600840000008b0000008d00008c0a00000000070000
114672,907,050009008f0000880000050c000000008500
117115,907,000000000a00008d00008b0400000d00000084870000008e
116580,906,008a000000000e000b0009878f8600000000000000080600
114386,906,080006000400000089000000098500000900
114197,905,0000008a000000040609000000870a0b0000
117170,903,0000058d0000000000878800000000000d00000087840009
115341,902,000900000087000088000000088400050000
114416,902,0000000000890000000b070a00008500000e008d00000084
114791,896,008986000000000000008a06000000098a00
113314,895,04068a00000000000000000a850006000000
116403,895,00000400070b008f000000000000008b8a0d000000000084
114783,893,0000070b0000070000008400050000008a00
114253,893,090a000500008485000b0000890000000000000800000000
114666,892,00000e00870007008a008e88000000000b00
116091,891,0a0006000000000500000b84000000008a00
114331,890,00060000080000870c00000000008a0000008400878e0000
116774,889,0000000d000000008400008f0a8c000008000600008a0000
114432,889,0000060000008b008b888b00000b00000085
117132,888,000000008800000987840000090509000000
117192,888,8e000085000000000000078c000a0000000000008b0c8800
116729,885,8800850d00000089008c008d000000000800000000000600
116831,883,00000000070a8f000000008c85000e000a0000008a000000
117128,883,06060004008b08000000000000000000868a
113777,883,0689008a000000000087000007000006000b
117231,882,000000000807870900008585000000000089
115141,879,8b0000040000000000000087040800890000
113202,879,06000000000000008b00008f000000880c88000000870b00
114437,878,008b00000704000900000000000088890084
116558,878,000a00008f00008686000f000000000005008b008d000000
116764,878,8800000400008d0b0000000087000084008e00000e000000
115353,878,0000000b00000000008b0d870000008f000000040f060000
117116,877,0000000000878a008a89000400000a070000
115257,875,00000000000f8c0000090008848b008c0000000000050000
113782,874,87000000000000008c008b00000000070c008c8d0000000b
113063,873,050000080008000000000c0000000000008689000007008e
115536,873,06000000000000008b0000860a000000000d0b8e00000b00
116525,871,000084000000000b000b0709000000008805
116734,871,008b00000000090700000007870a00000900
114681,870,0f0a0f00000500000089840000000000008d
115292,869,000085008a00058d000500000000040d0000000b00000000
116733,869,000000008600000e0800000000008d040006000c00890000
113134,867,00008e000000000b00000d000000008400890588008a0000
114404,866,040706000800080000850000000000890000
113339,865,8508000000858a000085008a000400000000
113176,865,00000404008b000a00050008000000840000
113816,863,8a8700880000848700000800000700000000
113801,862,00000087000000060600008a0a0007000b00
115210,862,0600000a00008a00040b0000008700000000
114423,860,00000087898a080000000000040088060000
